
="",="(1)",="(2)",="(3)",="(4)"
="",="Title 1",="Title 2",="Title 3",="Title 4"

="Number of marriages",="-0.085",="",="0.260***",="0.190**"
="",="(0.052)",="",="(0.060)",="(0.059)"

="Population",="0.009***",="",="0.003***",="0.003***"
="",="(0.000)",="",="(0.001)",="(0.001)"

="Urban population",="",="0.010***",="",=""
="",="",="(0.000)",="",=""

="Constant",="650.926",="6464.632***",="-963.343",="-7786.167**"
="",="(1347.445)",="(1819.705)",="(1547.852)",="(2591.717)"

="Observations",="50",="50",="50",="50"
="Region controls",="No",="No",="No",="Yes"

="Standard errors in parentheses"
="Add a note here."
="Other custom note here."
="* p<0.05, ** p<0.01, *** p<0.001"
